0,1,2
37057020,-71.41638889,7.035
14015020,-75.516,10.447
21215170,-75.229,4.402
54077210,-77.34900556,3.925147222
23207040,-73.91855556,7.480333333
16015110,-72.48716667,7.898777778
11037030,-76.753,5.585
28025130,-73.52394444,9.640611111
21087080,-75.544,2.644
52025501,-76.81202778,2.092941667
54017040,-76.56275,5.265111111
23017040,-74.914,5.206
21255170,-75.17327778,4.870555556
13055040,-75.91388889,8.746944444
21202220,-74.05,4.617
21202170,-74.167,4.567
26155270,-75.42897222,4.886611111
23055501,-74.99610833,5.317497222
23197690,-73.13055556,6.969166667
11120040,-77.115,7.439
16015501,-72.511,7.932
11027070,-76.576,5.515
25027020,-73.96944444,8.992527778
15067210,-73.051,10.95
51025060,-78.28161111,1.408638889
21202230,-74.117,4.467
2120000102,-74.205,4.635
24015340,-73.9,5.283
23057140,-74.726,5.731
2120000106,-74.164,4.512
2120000103,-74.019,4.733
24025504,-73.099,6.14
11159010,-77.331,8.616
21206900,-74.1,4.45
37015501,-72.49772778,7.296058333
21208480,-74.15,4.633
35071001,-73.351,5.439
13037040,-76.096,8.161
51027060,-78.67,1.424
27015290,-75.61279167,6.286333333
21165502,-74.59178611,3.955641667
15067220,-72.856,11.511
2120000100,-74.075,4.652
35160010,-72.949,5.478
56010040,-77.266,5.708
26185030,-75.78952778,5.799166667
21206940,-74.177,4.577
16035501,-72.86776667,8.151169444
21195160,-74.384,4.477
15017060,-74.139,11.254
26085160,-76.56061111,3.4255
11050020,-76.78,5.995
2601700104,-76.574280556,2.439472222
16027120,-72.65,7.834
55015010,-76.97316667,5.521083333
52025090,-76.75033333,2.193833333
21197430,-74.3,4.367
53045040,-77.89475,2.574416667
26125760,-75.635277778,4.481666667
13085030,-75.94930556,9.370777778
23065503,-74.4,4.95
25027200,-74.563,8.387
24025050,-73.151,6.274
