CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
3701500114;CHINACOTA - AUT;toledo;norte de santander;arauca
16027060;PUERTO LEON - AUT;puerto santander;norte de santander;catatumbo
16040050;LA MARIA - AUT;abrego;norte de santander;catatumbo
54057010;NOANAMA ASERRIO;medio san juan;choco;san juan
16035030;SARDINATA  - AUT;sardinata;norte de santander;catatumbo
26137220;EL RETEN - AUT;santa rosa de cabal;risaralda;cauca
2702500107;ANGOSTURA - AUT;angostura;antioquia;nechi
5205500123;LAS IGLESIAS  - AUT;pasto;narino;patia
16055120;AGUAS DE LA VIRGEN  - AUT;ocana;norte de santander;catatumbo
16057030;LA CABANA - AUT;ocana;norte de santander;catatumbo
25027240;JEGUA;san benito abad;sucre;bajo magdalena- cauca -san jorge
25027180;SAN ANTONIO;magangue;bolivar;bajo magdalena- cauca -san jorge
29045000;SABANALARGA TX GPRS;sabanalarga;atlantico;bajo magdalena
25010010;PUERTO LIBERTADOR;puerto libertador;cordoba;bajo magdalena- cauca -san jorge
15015100;PARQUE TAYRONA;santa marta;magdalena;caribe - guajira
17025020;AEROPUERTO EL EMBRUJO;san andres;san andres;islas caribe
11080010;PR CHOCO: BELLAVISTA;bojaya (bellavista);choco;atrato - darien
25027270;LAS FLORES;nechi;antioquia;cauca
21209200;LA CAMPINA - AUT;girardot;cundinamarca;alto magdalena
25027720;BARRANCONES;chimichagua;cesar;cesar
23107020;LA BODEGA - AUT;yondo (casabe);antioquia;medio magdalena
1303500074;LOMA VERDE - AUT;monteria;cordoba;sinu
28045501;PUEBLO BELLO  - AUT;pueblo bello;cesar;cesar
21145080;SANTA ANA - AUT;colombia;huila;alto magdalena
21215180;BATALLON ROOKE  - AUT;ibague;tolima;alto magdalena
21215190;CAJAMARCA - AUT;cajamarca;tolima;alto magdalena
23087160;CARAMANTA  - AUT;san roque;antioquia;medio magdalena
21185090;NATAIMA - AUT;espinal;tolima;alto magdalena
35167000;LAGO DE TOTA;aquitania;boyaca;meta
22075050;PARAMO DE YERBABUENA  - AUT;roncesvalles;tolima;saldana
44035050;MACAGUAL - AUT;florencia;caqueta;caqueta
22057010;PIEDRAS DE COBRE  - AUT;saldana;tolima;saldana
44035040;FLORENCIA - AUT;florencia;caqueta;caqueta
4403700097;SUCRE - AUT;florencia;caqueta;caqueta
35215020;APTO YOPAL;yopal;casanare;meta
35217030;PUENTE LA CABANA;yopal;casanare;meta
