Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
82,I.E Manuel Jose Caicedo,-75.32665,6.43495,Barbosa,Aguas Calientes,,,,2013-07-03,Activa
83,Centro de Salud San Javier La Loma - Meteorologica,-75.63112,6.27189,Medellin,,,60 San Cristobal,La Loma,2013-07-11,Activa
84,Escuela CEDEPRO,-75.63624,6.21959,Medellin,,,70 Altavista,Buga - Patio Bonito,2013-07-22,Inactiva
86,Pajarito,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,,Inactiva
88,CUIDA Juan Cojo,-75.45097,6.35678,Girardota,,,,Juan Cojo,2013-11-07,Activa
89,I.E Pedro Nel,-75.56778,6.31137,Medellin,Florencia,05 Castilla,,,2013-11-13,Activa
90,Q. Dona Maria - Colegio Campestre El Encanto,-75.66127,6.19541,Medellin,,,80 San Antonio de Prado,El Salado,2013-12-03,Activa
91,R. Medellin - Metro Sabaneta,-75.61669,6.15759,Sabaneta,El Carmelo,,,,2014-03-14,Activa
92,Q. Altavista - Corregimiento Altavista,-75.61602,6.22185,Medellin,,,70 Altavista,Altavista,2012-08-17,Activa
93,R. Medellin - Puente 33,-75.57729,6.23955,Medellin,Perpetuo Socorro,10 La Candelaria,,,2012-05-08,Activa
94,R. Medellin - Puente La Aguacatala,-75.58150,6.19519,Medellin,Guayabal,15 Guayabal,,,2012-06-21,Activa
95,Parque Lleras (Inmobiliaria Lleras),-75.56840,6.20740,Medellin,Parque Lleras,14 El Poblado,,,2012-06-21,Inactiva
96,La Gomez,-75.59295,6.27399,Medellin,Robledo,07 Robledo,,,2011-11-03,Inactiva
97,Parque de las Aguas-Nivel,-75.41860,6.40540,Barbosa,,,,Filo Verde,2011-10-19,Inactiva
98,Q. La Hueso - Metro Floresta,-75.59743,6.25859,Medellin,El Estadio,11 Laureles - Estadio,,,2011-09-30,Activa
99,R. Medellin - Aula Ambiental,-75.57247,6.26419,Medellin,El Chagualo,10 La Candelaria,,,2011-07-19,Activa
