,CodigoEstacion,Longitud,Latitud,Departamento,Municipio
242,56125730,-75.430961111,4.62325,QUINDÍO,SALENTO
243,24030950,-72.72972222,6.706388889,SANTANDER,MÁLAGA
244,2302500064,-75.143055556,5.265055556,CALDAS,MANZANARES
245,21205910,-74.00119444,4.989222222,CUNDINAMARCA,ZIPAQUIRÁ
246,5311500056,-76.987016667,3.848308333,VALLE DEL CAUCA,BUENAVENTURA
247,54015020,-76.552,5.27,CHOCÓ,TADÓ
248,3706500109,-70.733080556,7.063780556,ARAUCA,ARAUCA
249,35235040,-71.666,5.419,CASANARE,TRINIDAD
250,21205940,-74.38397222,4.834972222,CUNDINAMARCA,FACATATIVÁ
251,26155150,-75.35038889,4.934527778,CALDAS,VILLAMARIA
252,2403500041,-73.081783333,5.78755,BOYACÁ,PAIPA
253,88112901,0.0,0.0,<nil>,<nil>
254,24015300,-73.54394444,5.655833333,BOYACÁ,VILLA DE LEIVA
255,2319500043,-73.1094,7.0568,SANTANDER,FLORIDABLANCA
256,1602500063,-72.746,7.299,NORTE DE SANTANDER,MUTISCUA
257,2201500047,-75.80245,3.284138889,TOLIMA,PLANADAS
258,24025030,-73.16389139,5.966388889,BOYACÁ,PAIPA
259,2403500085,-72.835602778,6.187794444,SANTANDER,ONZAGA
260,2121500042,-75.336,4.600222222,TOLIMA,IBAGUÉ
261,29035080,-74.95463889,10.45358333,ATLANTICO,MANATÍ
262,23085080,-74.83669444,6.483583333,ANTIOQUIA,SAN ROQUE
263,15035020,-73.41138889,11.2525,LA GUAJIRA,DIBULLA
264,21050090,-75.8065,2.551444444,HUILA,NÁTAGA
265,2604500039,-76.252777778,3.178611111,CAUCA,CORINTO
266,23190700,-73.06777778,6.993333333,SANTANDER,PIEDECUESTA
267,2305500055,-75.150138889,5.372638889,CALDAS,PENSILVANIA
268,3507500046,-73.484027778,4.976083333,BOYACÁ,GUAYATÁ
269,2121500048,-75.20585,4.418808333,TOLIMA,IBAGUÉ
270,3503500062,-73.711511111,4.350355556,META,EL CALVARIO
271,3206500058,-74.0063,3.518202778,META,LEJANÍAS
272,21195120,-74.39613889,4.395777778,CUNDINAMARCA,SILVANIA
273,3206500045,-73.739733333,3.516333333,META,GRANADA
274,54020090,-76.677,5.074,CHOCÓ,CONDOTO
275,11115020,-76.02966667,6.758027778,ANTIOQUIA,CAÑASGORDAS
276,1303500074,-76.175416667,8.508777778,CORDOBA,MONTERÍA
277,2120500135,-74.032669444,4.85475,CUNDINAMARCA,CHÍA
278,23205050,-74.24097222,7.885416667,BOLIVAR,SANTA ROSA DEL SUR
279,16035010,-72.72666667,8.638333333,NORTE DE SANTANDER,TIBÚ
280,2801500078,-73.114222222,10.860305556,LA GUAJIRA,SAN JUAN DEL CESAR
281,2804500076,-73.643555556,10.415194444,CESAR,PUEBLO BELLO
282,15079010,-71.968,12.224,LA GUAJIRA,URIBIA
283,44197020,-69.619,-1.31,AMAZONAS,LA PEDRERA
284,2202500051,-75.6542,3.2058,TOLIMA,PLANADAS
285,2613500126,-75.558080556,4.885680556,RISARALDA,SANTA ROSA DE CABAL
286,2614500112,-75.800166667,5.275944444,CALDAS,ANSERMA
287,2119500111,-74.636830556,4.212219444,TOLIMA,MELGAR
288,35235010,-72.529,6.012,BOYACÁ,SOCOTÁ
289,24030680,-72.59083333,6.653333333,SANTANDER,CARCASÍ
290,24035250,-72.46633333,6.188333333,BOYACÁ,CHITA
291,24015380,-73.89833333,5.347222222,CUNDINAMARCA,CARMEN DE CARUPA
292,17035010,-79.852,15.797,SAN ANDRÉS PROVIDENCIA,SAN ANDRÉS
293,2403500081,-73.234922222,5.749661111,BOYACÁ,SOTAQUIRÁ
294,1602500110,-72.799169444,7.645111111,NORTE DE SANTANDER,ARBOLEDAS
295,2802500079,-73.731666667,10.088694444,CESAR,VALLEDUPAR
