CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
21255170;MURILLO - AUT;MURILLO;TOLIMA;ALTO MAGDALENA
27015501;YOLOMBO  - AUT;YOLOMBÓ;ANTIOQUIA;NECHÍ
16025501;CUCUTILLA  - AUT;CUCUTILLA;NORTE DE SANTANDER;CATATUMBO
29045190;APTO ERNESTO CORTIZOS TX GPRS;SOLEDAD;ATLÁNTICO;BAJO MAGDALENA
21195170;PAQUILO - AUT;CABRERA;CUNDINAMARCA;ALTO MAGDALENA
13095010;COVEÑAS - DIMAR;TOLÚ;SUCRE;CARIBE - LITORAL
21206920;VILLA TERESA - AUT;BOGOTA, D.C;BOGOTA;ALTO MAGDALENA
52015501;BALBOA  - AUT;BALBOA;CAUCA;PATÍA
23025501;MANZANARES  - AUT;MANZANARES;CALDAS;MEDIO MAGDALENA
26055110;LA INDEPENDENCIA - AUT;JAMUNDÍ;VALLE DEL CAUCA;CAUCA
52055150;CERRO PARAMO  - AUT;PUERRES;NARIÑO;PATÍA
21015502;SAN AGUSTIN  - AUT;SAN AGUSTÍN;HUILA;ALTO MAGDALENA
23065190;QUEBRADA NEGRA - AUT;QUEBRADANEGRA;CUNDINAMARCA;MEDIO MAGDALENA
23065160;ACOMODO EL;LA VEGA;CUNDINAMARCA;MEDIO MAGDALENA
26145090;SANTA EMILIA - AUT;BELÉN DE UMBRÍA;RISARALDA;CAUCA
21065501;JORGE VILLAMIL  - AUT;GIGANTE;HUILA;ALTO MAGDALENA
26155240;PNN NEVADOS - AUT;VILLAMARIA;CALDAS;CAUCA
24015503;CONFINES  - AUT;CONFINES;SANTANDER;SOGAMOSO
21206900;LA ESPERANZA USME - FOPAE;BOGOTA, D.C;BOGOTA D.C.;META
26145505;LA FLORESTA  - AUT;BELALCAZAR;CALDAS;CAUCA
36015020;EL DIAMANTE - AUT;PAZ DE ARIPORO;CASANARE;META
21235030;UNIVERSIDAD DE CUNDINAMARCA - AUT;GIRARDOT;CUNDINAMARCA;ALTO MAGDALENA
21205514;LAS MARGARITAS  - AUT;EL ROSAL;CUNDINAMARCA;ALTO MAGDALENA
11115501;CAÑASGORDAS  - AUT;CAÑASGORDAS;ANTIOQUIA;ATRATO - DARIÉN
35035100;ICA VILLAVICENCIO  - AUT;VILLAVICENCIO;META;META
37015501;LABATECA  - AUT;LABATECA;NORTE DE SANTANDER;ARAUCA
21206960;IDEAM BOGOTA  - AUT;BOGOTA, D.C;BOGOTA;ALTO MAGDALENA
21206980;SANTA CRUZ DE SIECHA  - AUT;GUASCA;CUNDINAMARCA;ALTO MAGDALENA
26125509;ESPERANZA LA  - AUT;PIJAO;QUINDÍO;CAUCA
28025501;LA JAGUA DE IBIRICO  - AUT;LA JAGUA DE IBIRICO;CESAR;CESAR
21206930;PARAMO GUERRERO  - AUT;ZIPAQUIRÁ;CUNDINAMARCA;ALTO MAGDALENA
21205518;SALITRE  - AUT;TAUSA;CUNDINAMARCA;ALTO MAGDALENA
26165501;EL CIPRES  - AUT;SALAMINA;CALDAS;CAUCA
21115170;LA PLATA - AUT;NEIVA;HUILA;ALTO MAGDALENA
23195090;VIVERO SURATA  - AUT;SURATÁ;SANTANDER;MEDIO MAGDALENA
29035200;REPELON - AUT;REPELÓN;ATLANTICO;BAJO MAGDALENA
26125710;APTO MATECAÑA TX GPS/GOES;PEREIRA;RISARALDA;CAUCA
24035370;EL ESPINO - AUT;EL ESPINO;BOYACÁ;SOGAMOSO
24015507;OJO DE AGUA  - AUT;SIMIJACA;CUNDINAMARCA;SOGAMOSO
23065180;VILLETA - AUT;VILLETA;CUNDINAMARCA;MEDIO MAGDALENA
11120040;PR CHOCO: RIOSUCIO;RIOSUCIO;CHOCÓ;ATRATO - DARIÉN
15065040;LA PAULINA - AUT;FONSECA;LA GUAJIRA;CARIBE - GUAJIRA
24035501;ARATOCA  - AUT;ARATOCA;SANTANDER;SOGAMOSO
26075120;LA DIANA - AUT;FLORIDA;VALLE DEL CAUCA;CAUCA
16055120;AGUAS DE LA VIRGEN  - AUT;OCAÑA;NORTE DE SANTANDER;CATATUMBO
21215180;BATALLON ROOKE  - AUT;IBAGUÉ;TOLIMA;ALTO MAGDALENA
26035090;LA LAGUNA CAUCA;CAJIBÍO;CAUCA;CAUCA
35185010;LA PALOMERA - AUT;PUERTO LÓPEZ;META;META
21197430;PROVIDENCIA - PROVIDENCIA;FUSAGASUGÁ;CUNDINAMARCA;ALTO MAGDALENA
29065140;COLEGIO KANKAWARWA;FUNDACIÓN;MAGDALENA;BAJO MAGDALENA
35095120;AQUITANIA - AUT;AQUITANIA;BOYACÁ;META
24015501;BERTHA  - AUT;MONIQUIRÁ;BOYACÁ;SOGAMOSO
52045080;UNIVERSIDAD DE NARINO  - AUT;PASTO;NARIÑO;PATÍA
25025280;EL TESORO IDEAM  - AUT;MORROA;SUCRE;BAJO MAGDALENA- CAUCA -SAN JORGE
21205519;SAN FORTUNATO  - AUT;SIBATÉ;CUNDINAMARCA;ALTO MAGDALENA
29015040;CARMEN DE BOLIVAR  - AUT;EL CARMÉN DE BOLÍVAR;BOLIVAR;BAJO MAGDALENA
29045000;SABANALARGA TX GPRS;SABANALARGA;ATLÁNTICO;BAJO MAGDALENA
54077210;JUANCHACO - AUT;BUENAVENTURA;VALLE DEL CAUCA;SAN JUÁN
26065501;JAMUNDI  - AUT;JAMUNDÍ;VALLE DEL CAUCA;CAUCA
17015010;APTO SESQUICENTENARIO TX GPRS;SAN ANDRÉS;SAN ANDRÉS PROVIDENCIA;ISLAS CARIBE
23195230;NEOMUNDO - AUT;BUCARAMANGA;SANTANDER;MEDIO MAGDALENA
16040050;LA MARIA - AUT;ÁBREGO;NORTE DE SANTANDER;CATATUMBO
53115502;JULIO FERNANDEZ  - AUT;RESTREPO;VALLE DEL CAUCA;TAPAJE - DAGUA - DIRECTOS
52025501;LA VEGA  - AUT;LA VEGA;CAUCA;PATÍA
21205517;PARQUE SOPO  - AUT;SOPÓ;CUNDINAMARCA;ALTO MAGDALENA
51025090;GRANJA MIRA;TUMACO;NARINO;MIRA
12015110;CHIGORODO - AUT;CHIGORODÓ;ANTIOQUIA;CARIBE - LITORAL
35235040;PERENCO - TRINIDAD METEO;TRINIDAD;CASANARE;<nil>
51025080;ALTAQUER - AUT;BARBACOAS;NARIÑO;MIRA
21205506;GUAMAL - CAR;SUBACHOQUE;CUNDINAMARCA;ALTO MAGDALENA
21195501;GRANJA TIBACUY  - AUT;TIBACUY;CUNDINAMARCA;ALTO MAGDALENA
24015508;HACIENDA LA MESA  - AUT;PASCA;CUNDINAMARCA;ALTO MAGDALENA
15065190;MONGUI;RIOHACHA;LA GUAJIRA;CARIBE - GUAJIRA
26125501;GENOVA  - AUT;GÉNOVA;QUINDÍO;CAUCA
12015100;PISTA INDIRA - AUT;TURBO;ANTIOQUIA;CARIBE - LITORAL
24015340;EL HATO - CAR;CARMEN DE CARUPA;CUNDINAMARCA;SOGAMOSO
26095320;EL VINCULO - AUT;BUGA;VALLE DEL CAUCA;CAUCA
16015120;UNIVERSIDAD DE PAMPLONA  - AUT;PAMPLONA;NORTE DE SANTANDER;CATATUMBO
21205524;VETA LARGA  - AUT;ZIPAQUIRÁ;CUNDINAMARCA;ALTO MAGDALENA
57025020;GORGONA GUAPI;GUAPI;CAUCA;GUAVIARE
26075150;APTO ALFONSO BONILLA ARAGON - TX GPRS;PALMIRA;VALLE DEL CAUCA;CAUCA
56019010;BAHIA SOLANO - En Siniestro;BAHÍA SOLANO (MUTIS);CHOCÓ;PACÍFICO - DIRECTOS
35035130;PARAMO CHINGAZA  - AUT;GUASCA;CUNDINAMARCA;META
24015506;CAPELLANIA - CAR;FÚQUENE;CUNDINAMARCA;SOGAMOSO
21206940;CIUDAD BOLIVAR;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26155250;PARAMO CONEJERAS  - AUT;VILLAMARIA;CALDAS;CAUCA
52055170;LA JOSEFINA - AUT;CONTADERO;NARIÑO;PATÍA
11135030;UNGUIA - AUT;UNGUÍA;CHOCO;ATRATO - DARIÉN
21015040;LA PRIMAVERA - AUT;SALADOBLANCO;HUILA;ALTO MAGDALENA
11080010;PR CHOCO: BELLAVISTA;BOJAYÁ (BELLAVISTA);CHOCÓ;ATRATO - DARIÉN
21209940;GRAVILLERAS - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
16025502;FRANCISCO ROMERO  - AUT;SALAZAR;NORTE DE SANTANDER;CATATUMBO
28025502;APTO ALFONSO LOPEZ;VALLEDUPAR;CESAR;CESAR
32075501;LEJANIAS  - AUT;LEJANÍAS;META;GUAVIARE
16035501;SARDINATA  - AUT;SARDINATA;NORTE DE SANTANDER;CATATUMBO
21206600;NUEVA GENERACION  - AUT;BOGOTA, D.C;BOGOTA;ALTO MAGDALENA
25025002;LOS ALAMOS;SAN SEBASTIÁN DE BUENAVISTA;MAGDALENA;BAJO MAGDALENA
26055100;FARALLONES - AUT;CALI;VALLE DEL CAUCA;CAUCA
24025501;ALBERTO SANTOS  - AUT;SOCORRO;SANTANDER;SOGAMOSO
23065504;VIANI - CAR;VIANÍ;CUNDINAMARCA;MEDIO MAGDALENA
23195240;AGUACHICA - AUT;AGUACHICA;CESAR;MEDIO MAGDALENA
26165502;JARDIN  - AUT;JARDÍN;ANTIOQUIA;CAUCA
15075150;PAICI - AUT;URIBIA;LA GUAJIRA;CARIBE - GUAJIRA
